Project ID,Project Name,Project Status,Construction Status,Plannning Approval Address,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,General Housing Program,Specific Program Area,Multiphase or Multisite Project Name,Redevelopment Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed Date,Issuance of Building Permit Date,Issuance of First Construction Document Date,Estimated/Actual Construction Start Date,Estimated Construction Completion Date,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Planning Entitlements,Entitlement Approval Date,Section 415 Declaration,Total Project Units,MOHCD Affordable Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2019-035,344 14th St,Construction,(4) Site Work Permit Issued,344 14th St,94103,3532,13,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,05/09/2022,,07/23/2021,,SF AEC14 LLC,,,2014.0948,,07/25/2019,On-site BMR Project; Fee Payment,62,8,13,0,1,2,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,37.76845891,-122.4209826,"(37.76845891, -122.4209826)"
2018-036,1052-1060 Folsom,Pre-Construction,(3) Design with Entitlements Approved,1052 Folsom St,94103,3731,87,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,07/01/2023,,,12/18/2020,,"Golden Properties, LLC",,,2016-004905PRJ,,12/20/2018,On-site BMR Project,59,14,24,0,0,6,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,2,0,0,0,0,37.77768515,-122.4069922,"(37.77768515, -122.4069922)"
2020-024,98 Franklin,Pre-Construction,(3) Design with Entitlements Approved,98 Franklin St,94102,836,13,6,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,05/27/2022,,"J. Abrams Law, PC",,,2016-014802PRJ,"2016-014802PRJ, 2016-014802DNX, 2016-014802DNX-02, 2016-014802DVA, 2016-014802ENV-02, 2016-014802MAP, 2016-014802PCA",05/28/2020,On-site BMR Project,345,69,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,37.77500277,-122.4205075,"(37.77500277, -122.4205075)"
2016-058,"HPSY I, Block 52 (Inclusionary)",Construction,(5) First Construction Document Issued,11 Jerrold Ave,94124,4591C,216,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,Hunters Point Ship Yard I,HP Shipyard Phase 1,New Construction,Ownership,,07/01/2020,07/21/2020,08/25/2020,07/01/2020,06/01/2024,Sponsor Not Yet Determined,,,Not Applicable,,06/07/2014,,77,9,12,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,37.72711014,-122.3694067,"(37.72711014, -122.3694067)"
2018-013,2140 Market,Pre-Construction,(3) Design with Entitlements Approved,2140 Market St,94114,3542,8,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,07/29/2020,,Ankrom Moisan Architects,,,2014-002035PRJ,"11148PRV,11461PRV,2014-002035CUA,2014-002035ENV,2014-002035PPA,2014-002035TDM,2014-002035VAR",07/31/2018,On-site BMR Project,91,13,14,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,3,0,0,0,0,37.76719381,-122.4297714,"(37.76719381, -122.4297714)"
2024-007,842 California,Pre-Construction,(3) Design with Entitlements Approved,842 California St,94108,243,27,3,Chinatown,Chinatown,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,09/25/2026,,"Acme Development, LLC",,,2023-009219PRJ,,09/26/2024,On-site BMR Project; Fee Payment,32,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37.79238268,-122.4084136,"(37.79238268, -122.4084136)"
2021-016,1525 Pine,Pre-Construction,(3) Design with Entitlements Approved,1525 Pine St,94109,667,20,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,07/21/2023,,1525 Pine Street Dev LLC,,,2015-009955PRJ,,07/22/2021,On-site BMR Project; Fee Payment,21,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.78932107,-122.4207102,"(37.78932107, -122.4207102)"
2016-002,"HPSY II-CPN, Block 10A",Pre-Construction,(3) Design with Entitlements Approved,Address not yet assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard II/Candlestick Point,Candlestick Point,New Construction,Rental,,06/01/2032,,,06/01/2032,,Tenderloin Neighborhood Development Corporation (TNDC),Young Community Developers,"Candlestick 10a Associates, LP",Not Applicable,,12/05/2017,,156,155,99,0,0,49,14,88,3,1,32,150,0,5,35,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,37.71485911,-122.3845546,"(37.71485911, -122.3845546)"
1997-015,Bernal Bundle Scattered Sites - Positive Match,Building Rehabilitation (Construction),(5) First Construction Document Issued,1652 Eddy St,94115,,,5,Western Addition,Western Addition,MOHCD/SFRA,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,Rehabilitation,Rental,04/28/1998,05/15/2025,10/30/2000,01/24/2001,05/15/2025,10/31/2025,Bernal Heights Housing Corporation,,,,,,,7,7,100,0,0,1,5,1,0,0,0,7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,37.78129267,-122.4349288,"(37.78129267, -122.4349288)"
2016-105,"CP-02 ""Infield"" Senior",Pre-Construction,(1) Preliminary Phase,Address not yet assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,,Candlestick Point,New Construction,Rental,,09/01/2034,,,09/01/2034,02/23/2036,,,,Not Applicable,,,,105,104,99,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,37.71356453,-122.3841903,"(37.71356453, -122.3841903)"
2022-009,350 Ocean,Pre-Construction,(3) Design with Entitlements Approved,350 Ocean Ave,94112,3212,23,11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,05/17/2024,,Jeremy Schaub,,,2017-001961PRJ,2017-001961CUA,05/19/2022,On-site BMR Project; Fee Payment,35,6,17,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,37.72323358,-122.4437117,"(37.72323358, -122.4437117)"
2016-097,Transbay Block 12,Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94105,,,6,Financial District/South Beach,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Transbay,Transbay,New Construction,Rental,,12/31/2029,,,12/31/2029,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,80,79,99,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,37.78431875,-122.3946299,"(37.78431875, -122.3946299)"
2019-016,755 Brannan,Pre-Construction,(3) Design with Entitlements Approved,755 Brannan St,94103,3784,181,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,08/20/2021,,"SF Green Homes, LLC",,,2017-002951PRJ,"2017-002951PRJ, 2017-002951ENV, 2017-002951ENX, 2017-002951PPA,",08/22/2019,On-site BMR Project; Fee Payment,57,8,14,0,3,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,37.77374232,-122.4018231,"(37.77374232, -122.4018231)"
2023-031,Treasure Island Parcel B1,Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94130,,,6,Treasure Island,Treasure Island/YBI,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Treasure Island,Not in an OCII Project Area,New Construction,Rental,,,,,,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,,,,On-site BMR Project,117,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37.8172631,-122.3710918,"(37.8172631, -122.3710918)"
2016-022,430 Eddy,Pre-Construction,(3) Design with Entitlements Approved,430 Eddy St,94109,334,8,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,03/16/2018,,430 Eddy Associates LLC,,,2014.04,"2014.0400CUA,2014.0400E,2014.0400PPA,2014.0400SHD,2014.0400U",03/17/2016,On-site BMR Project,23,3,13,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.78393983,-122.4147448,"(37.78393983, -122.4147448)"
2019-009,4200 3rd Street,Pre-Construction,(2) Predevelopment Feasibility,4200 3rd St,94124,,,10,Bayview Hunters Point,Bayview,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,,Bayview Hunters Point,New Construction,Rental,,,,,,,,,,,,,,85,34,40,0,4,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,37.7397622,-122.3890712,"(37.7397622, -122.3890712)"
1994-013,The Rose,Building Rehabilitation (Pre-Construction),(3) Design with Entitlements Approved,125 6th St,94103,,,6,South of Market,South of Market,SFRA,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,Rehabilitation,Rental,,02/26/2025,12/06/1996,,02/26/2025,02/16/2026,Mercy Housing CA,,,Not applicable,,,,76,75,99,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,37.78085689,-122.4080297,"(37.78085689, -122.4080297)"
2022-007,375 14th St,Building Rehabilitation (Construction),(5) First Construction Document Issued,375 14th St,94103,3547,018B,9,Mission,Mission,MOHCD,MOHCD Preservation,Small Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,02/01/2022,11/25/2024,10/28/2024,,11/25/2024,09/30/2025,San Francisco Housing Development Corporation,,San Francisco Housing Development Corporation,2022-003455PRL,,,,16,16,100,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,37.76794711,-122.4215304,"(37.76794711, -122.4215304)"
2018-051,4101 3rd St,Construction,(4) Site Work Permit Issued,4101 3rd St,94124,5260,1,10,Bayview Hunters Point,Bayview,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,,Bayview Hunters Point,New Construction,Rental,,,06/30/2020,,,,,,,Not Applicable,,,,35,10,29,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,37.73989446,-122.3885416,"(37.73989446, -122.3885416)"
2020-042,Granada Hotel,Building Rehabilitation (Construction),(5) First Construction Document Issued,1000 Sutter St,94109,,,3,Nob Hill,Downtown/Civic Center,MOHCD/HSH,MOHCD 100% Affordable,HSH Homekey,,Not in an OCII Project Area,Rehabilitation,Rental,11/13/2020,,02/03/2022,,,01/31/2025,Episcopal Community Services,,Episcopal Community Services,2024-003749GPR,,,,214,212,99,212,0,0,0,0,0,0,0,0,0,0,212,0,212,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,37.78833738,-122.417069,"(37.78833738, -122.417069)"
2023-025,750 Golden Gate Phase I,Construction,(4) Site Work Permit Issued,750 Golden Gate Ave,94102,761,62,2,Western Addition,Downtown/Civic Center,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,01/08/2025,11/06/2024,11/06/2024,01/08/2025,,MidPen Housing,,,,,04/08/2022,,75,74,99,0,28,7,18,21,0,0,0,74,0,0,0,0,0,0,0,8,8,8,0,16,4,0,0,0,0,0,30,0,0,37.78087361,-122.4226651,"(37.78087361, -122.4226651)"
2025-003,835 Turk,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,835 Turk St,94102,761,016A,2,Western Addition,Downtown/Civic Center,MOHCD/HSH,MOHCD 100% Affordable,HSH Homekey,,Western Addition-Area 2,Rehabilitation,Rental,,,,,,,Five Keys School and Programs,,,2025-002323PRJ,,,,106,106,100,106,0,0,0,0,0,0,0,0,0,0,106,0,106,0,0,53,0,0,0,53,0,0,0,0,0,0,0,0,0,37.78155809,-122.4228432,"(37.78155809, -122.4228432)"
2021-023,4512 23rd St,Pre-Construction,(3) Design with Entitlements Approved,4512 23rd St,94131,2800,5,8,Twin Peaks,Twin Peaks,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,10/20/2023,,Paramount Estate LLC,,,2019-019698PRJ,"2019-019698PRJ, 2019-019698AHB, 2019-019698ENV,",10/21/2021,On-site BMR Project,13,3,23,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,37.75259,-122.4431767,"(37.75259, -122.4431767)"
2022-005,1101-1123 Sutter,Pre-Construction,(3) Design with Entitlements Approved,1101-1123 Sutter St,94109,692,1,3,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,03/22/2024,,Julie Heinzler,,"1101 Sutter Affordable, LP",2019-022850PRJ,"2019-022850CUA, 2019-022850CUA-02",03/24/2022,On-site BMR Project; Fee Payment,221,35,16,0,13,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,6,0,0,0,6,0,0,0,0,37.78767258,-122.4185403,"(37.78767258, -122.4185403)"
2021-003,1526-1560 Folsom,Pre-Construction,(3) Design with Entitlements Approved,1526-1560 Folsom St,94103,3516,"067, 066, 068, 009",6,Mission,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,02/17/2023,,,02/17/2023,,L37 Partners,,,2018-014795PRJ,"2018-014795PRJ, 2018-014795ENV",02/18/2021,On-site BMR Project; Fee Payment,231,34,15,0,9,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,7,0,0,0,7,0,0,0,0,37.77158402,-122.4144739,"(37.77158402, -122.4144739)"
2015-006b,SFCLT Scattered Sites - Pigeon Palace,Building Rehabilitation (Construction),(5) First Construction Document Issued,2840-2848 Folsom St,94110,6520,7,9,Mission,Mission,MOHCD,MOHCD Preservation,Small Sites Program,SFCLT Scattered Sites,Not in an OCII Project Area,Rehabilitation,Rental,09/10/2015,12/15/2023,07/18/2016,,12/15/2023,05/31/2025,San Francisco Community Land Trust,,San Francisco Community Land Trust,Not Applicable,,,,6,6,100,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.75181123,-122.4142812,"(37.75181123, -122.4142812)"
2014-025,Schlage Project,Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94134,"5087, 5099, 5100, 5101, 5102, 5107","003, 003A, 014, 002, 003, 010, 006, 007, 009, 001",10,Bayview Hunters Point,Visitacion Valley,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Visitacion Valley/Schlage Lock,Not in an OCII Project Area,New Construction,Rental,,,,,08/31/2016,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,2006.1308,"2006.1308E,2006.1308E_3,2006.1308E_5,2006.1308M,2006.1308R,2006.1308R_3,2006.1308T,2006.1308U,2006.1308U_3,2006.1308U_5,2006.1308U_7,2006.1308W,2006.1308Z",09/02/2014,On-site BMR Project; Fee Payment,1679,168,10,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,37.71031638,-122.4034371,"(37.71031638, -122.4034371)"
2018-003,135 Hyde,Construction,(4) Site Work Permit Issued,135 Hyde St,94102,346,2,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,06/28/2019,,03/27/2020,,Elevation Architects,,,2015-015203PRJ,"2015-015203DNX,2015-015203ENV,2015-015203PPA,2015-015203SHD,2015-015203TDM,2015-015203VAR",03/29/2018,On-site BMR Project,69,10,14,0,0,9,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,37.78214757,-122.4158623,"(37.78214757, -122.4158623)"
2020-035,1088 Howard,Construction,(4) Site Work Permit Issued,1088 Howard St,94103,3726,30,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,04/28/2021,,10/22/2022,,Schaub Ly Architects,,,2017-009796PRJ,,10/23/2020,On-site BMR Project,24,3,13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.77839629,-122.4091645,"(37.77839629, -122.4091645)"
2017-007,1228 Folsom,Pre-Construction,(3) Design with Entitlements Approved,1228 Folsom St,94103,3729,11,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,01/04/2019,,RG Architecture,,,2014.0964,"2014.0964ENV,2014.0964ENX,2014.0964GEN-02,2014.0964PPA,2014.0964U,2014.0964VAR",01/05/2017,On-site BMR Project,24,3,13,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.77473165,-122.4107097,"(37.77473165, -122.4107097)"
2015-019,1000 Mississippi,Construction,(4) Site Work Permit Issued,1000 Mississippi St,94107,4224,"015, 016, 037, 038, 039, 040",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,04/22/2016,,10/21/2016,,"Heights Properties, LLP",,,2014.1019,"2006.0810,2006.0810C,2006.0810E,2006.0810K,2014.1019C",05/14/2015,On-site BMR Project,28,3,11,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.75361946,-122.3939575,"(37.75361946, -122.3939575)"
2012-008,1150 16th  (AKA 1208 8th),Pre-Construction,(3) Design with Entitlements Approved,1150 16th St,94107,3821,9,6,Mission Bay,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,04/11/2014,,Sergio Nibbi,,,2004.1004,"2004.1004C,2004.1004E,2004.1004E_3,2004.1004K,2004.1004S",04/12/2012,On-site BMR Project,15,2,13,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37.76647548,-122.3989239,"(37.76647548, -122.3989239)"
2017-038,78 Haight St (Parcel U),Construction,(5) First Construction Document Issued,78 Haight St,94102,853,21,6,Hayes Valley,Western Addition,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,03/15/2022,07/21/2020,10/26/2021,03/15/2022,12/31/2024,Tenderloin Neighborhood Development Corporation (TNDC),,Tenderloin Neighborhood Development Corporation (TNDC),2019-021893PRJ,,04/01/2020,,64,64,100,0,58,5,0,1,0,0,10,0,0,32,32,0,32,0,0,32,0,4,0,27,0,0,0,0,0,1,0,0,0,37.77325451,-122.4234017,"(37.77325451, -122.4234017)"
2024-002,2901 16th,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,2901 16th St,94103,3570,1,9,Mission,Mission,MOHCD,MOHCD Preservation,Big Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,09/18/2024,,,,,12/01/2026,Mission Economic Development Agency,,Mission Economic Development Agency,,,,,63,61,97,2,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,37.76492932,-122.4177868,"(37.76492932, -122.4177868)"
2016-049,901 16th (related to 1200 17th),Construction,(4) Site Work Permit Issued,901 16th St,94107,3949,1,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,03/19/1996,,05/11/2018,,"Potrero Partners, LLC",,,2011.13,"2011.1300E,2011.1300K,2011.1300PPA,2011.1300U,2011.1300X",05/12/2016,On-site BMR Project,260,42,16,0,8,17,15,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,37.76612471,-122.3953814,"(37.76612471, -122.3953814)"
2016-112,524 Howard,Pre-Construction,(3) Design with Entitlements Approved,524 Howard St,94105,3721,13,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,11/02/2018,,"J. Abrams Law, PC",,,2013.0882,"2013.0882DNX,2013.0882ENV,2013.0882SHD,2013.0882U,2013.0882VAR",11/03/2016,On-site BMR Project,334,50,15,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37.78822321,-122.3969212,"(37.78822321, -122.3969212)"
2016-127,CPS-Block 6a,Pre-Construction,(2) Predevelopment Feasibility,99 Harney Way,94124,5000,33,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 2,New Construction,Ownership,,06/01/2028,,,06/01/2028,12/23/2029,,,,,,,,128,13,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,37.71288891,-122.3830414,"(37.71288891, -122.3830414)"
2012-001f,Alice Griffith Phase 5 (Blocks 14 & 15),Pre-Construction,(2) Predevelopment Feasibility,Address not yet assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,HOPE SF,Alice Griffith HOPE SF,Candlestick Point,New Construction,Rental,,06/01/2035,,,06/01/2035,,McCormack Baron Salazar,,Entity to be formed,Not Applicable,,,,36,35,97,0,0,0,0,0,29,6,4,35,0,0,0,0,0,30,0,0,0,30,0,5,0,0,0,0,0,0,0,0,0,37.71876424,-122.3876666,"(37.71876424, -122.3876666)"
2021-017,4716-4722 Mission,Pre-Construction,(3) Design with Entitlements Approved,4716-4722 Mission St,94112,6955,"014, 015",11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,07/21/2023,,Tortilla Flats LLC,,,2018-002625PRJ,,07/22/2021,On-site BMR Project,24,3,13,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37.722837,-122.4364483,"(37.722837, -122.4364483)"
2018-014,280 7th St,Pre-Construction,(3) Design with Entitlements Approved,280 7th St,94103,3730,290,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,12/31/2024,,07/24/2020,,"Dragonfly Assets C-54, LLC",,,2016-004946PRJ,"2016-004946ENV,2016-004946ENX,2016-004946PPA,2016-004946SHD,2016-004946TDM",07/26/2018,On-site BMR Project,20,2,10,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37.77696049,-122.4082454,"(37.77696049, -122.4082454)"
2011-035,Parkmerced - Phase 2,Pre-Construction,(3) Design with Entitlements Approved,3711 19th Ave,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Parkmerced,Not in an OCII Project Area,New Construction,Rental,,,,,02/08/2013,,Maximus,,,2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,711,36,5,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37.72052876,-122.4757402,"(37.72052876, -122.4757402)"
2025-002,5012 3rd St,Pre-Construction,(3) Design with Entitlements Approved,5012 3rd St,94124,5338,53,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Bayview Hunters Point,New Construction,Ownership,,,,,07/28/2023,,Riyad Ghannam,,,2019-020818PRJ,,07/29/2021,On-site BMR Project,29,5,17,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,37.73307464,-122.3915461,"(37.73307464, -122.3915461)"
2021-022,3832 18th St,Pre-Construction,(3) Design with Entitlements Approved,3832 18th St,94114,3580,18,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,10/13/2023,,"Reuben, Junius & Rose, LLP",,,2020-001610PRJ,,10/14/2021,On-site BMR Project; Fee Payment,19,3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.76151497,-122.4290987,"(37.76151497, -122.4290987)"
2016-086,"Block 48, Phase 4 (Blocks D, E, Q)",Construction,(5) First Construction Document Issued,989 Oakdale Ave,94124,,,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 1,New Construction,Ownership,,05/01/2028,08/31/2021,,05/01/2028,06/30/2030,,,,Not Applicable,,03/03/2015,,73,10,14,0,0,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.7277282,-122.3775207,"(37.7277282, -122.3775207)"
2024-003,2059 Mission,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,2059 Mission St,94110,3570,23,9,Mission,Mission,MOHCD,MOHCD Preservation,Big Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,05/01/2026,Mission Economic Development Agency,,Mission Economic Development Agency,,,,,35,35,100,2,28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37.76405091,-122.4191235,"(37.76405091, -122.4191235)"
